participant_code;session_code;gropu_id;group_id;chat_id;player_color;To;body;timestamp;nickname;channel;inactive;left_player_id;left_player_color;right_player_id;right_player_color;part1_signal_left;part1_signal_right;part1_finaldecision;Part3_finaldecision
2s9nar7d;ln6s1ftc;3;68;6;Blue;Green;io sono per dividere equamente;17.792.717.220.007.200;RightPartner;13-bargaining_tdl_main-68_2_3;0;br25c3xd;Green;cw3blg3k;Red;split_both;split_both;Both;share_both
2s9nar7d;ln6s1ftc;3;68;9;Blue;Red;si;17.792.717.552.025.100;LeftPartner;13-bargaining_tdl_main-68_1_3;0;br25c3xd;Green;cw3blg3k;Red;split_both;split_both;Both;share_both
3yhfj8m6;ln6s1ftc;15;80;4;Red;Green;anche io;17.792.717.934.680.100;LeftPartner;13-bargaining_tdl_main-80_1_2;1;9d8bae4j;Blue;2d8kclta;Green;split_other;split_you;Right;share_both
3yhfj8m6;ln6s1ftc;15;80;6;Red;Green;penso che il blu abbia lasciato. quindi dividiamo noi;17.792.718.777.183.200;LeftPartner;13-bargaining_tdl_main-80_1_2;1;9d8bae4j;Blue;2d8kclta;Green;split_other;split_you;Right;share_both
3yhfj8m6;ln6s1ftc;15;80;8;Red;Green;procediamo;17.792.719.020.178.500;LeftPartner;13-bargaining_tdl_main-80_1_2;1;9d8bae4j;Blue;2d8kclta;Green;split_other;split_you;Right;share_both
5mhp2h2j;ln6s1ftc;11;76;3;Green;Red;ok;17.792.716.460.052.800;RightPartner;13-bargaining_tdl_main-76_1_2;0;nf397ou8;Red;ovyw28qv;Blue;split_other;split_you;Right;share_both
5mhp2h2j;ln6s1ftc;11;76;5;Green;Blue;che vuoi fare?;17.792.716.795.010.000;LeftPartner;13-bargaining_tdl_main-76_2_3;0;nf397ou8;Red;ovyw28qv;Blue;split_other;split_you;Right;share_both
73thvczv;ln6s1ftc;5;70;1;Blue;Green;Ciao, il Rosso ha abbandonato,  quindi dividiamo solo noi due?;17.792.717.668.279.700;RightPartner;13-bargaining_tdl_main-70_2_3;0;ykrt3sc2;Green;tj95w8dv;#N/D;split_you;split_other;Left;share_both
7jq6qxh3;ln6s1ftc;14;79;3;Green;Red;condivido;17.792.717.336.373.300;RightPartner;13-bargaining_tdl_main-79_1_2;0;bab8wqjo;Red;bueb4u4i;Blue;split_both;split_both;Both;share_one
7jq6qxh3;ln6s1ftc;14;79;4;Green;Blue;io direi di dividere equamente;1.779.271.735.640.710;LeftPartner;13-bargaining_tdl_main-79_2_3;0;bab8wqjo;Red;bueb4u4i;Blue;split_both;split_both;Both;share_one
8ot66gl6;ln6s1ftc;8;73;3;Red;Blue;Ciao Blu;17.792.718.423.099.900;RightPartner;13-bargaining_tdl_main-73_1_3;0;wx1wj6o7;Blue;eoo09gqg;Green;split_you;split_other;Both;0
8ot66gl6;ln6s1ftc;8;73;7;Red;Blue;ok;17.792.718.967.199.800;RightPartner;13-bargaining_tdl_main-73_1_3;0;wx1wj6o7;Blue;eoo09gqg;Green;split_you;split_other;Both;0
8ot66gl6;ln6s1ftc;8;73;9;Red;Green;ok;1.779.271.901.148.350;LeftPartner;13-bargaining_tdl_main-73_1_2;0;wx1wj6o7;Blue;eoo09gqg;Green;split_you;split_other;Both;0
