playerid;participant_code;groupid;inactive;left_player;right_player;part1_signal_left;part1_signal_right;part1_finaldecision;Part3_finaldecision;survey_id_in_group;survey_role;survey_payoff;survey_gender;survey_age;survey_field_of_study;survey_university_years;survey_job_status;survey_willingness_future;survey_willingness_risk;survey_reciprocity_positive;survey_reciprocity_negative;survey_willingness_donate;survey_trust_general;survey_beauty_contest_guess;survey_time_on_page;survey_time_survey_intro;survey_time_survey_questions;survey_time_survey_scale_intro;survey_time_survey_page4;survey_time_survey_page5;survey_time_survey_page6;survey_time_survey_page7;survey_time_survey_page8;survey_time_survey_page9;survey_time_survey_page10;survey_time_final_results
135;mnbzx1p1;1;;;;;;;;135;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;ibfwgkpl;1;;;;;;;;1;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;fpgmjzgf;1;;;;;;;;2;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;orexdhup;1;;;;;;;;3;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;ax6us4rn;1;;;;;;;;1;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;z9xwja3d;1;;;;;;;;2;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;2bw6bnk9;1;;;;;;;;3;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;i4i3tmug;5;;simlh0ez;9lowtshx;split_other;split_you;Right;share_both;1;;0.0;0;23;Economics;5;not_in_labour_force;8;7;10;6;8;10;2.0;26.6;4.93;19.55;5.4;13.77;5.0;3.09;8.42;6.23;3.17;26.6;0.0
2;9lowtshx;5;;i4i3tmug;simlh0ez;split_both;split_both;Both;share_both;2;;0.0;0;22;Economia Politica;3;not_in_labour_force;10;10;10;10;10;10;1.9;63.36;0.94;18.61;3.47;3.49;9.62;5.43;3.22;3.69;25.42;63.36;0.0
3;simlh0ez;5;;9lowtshx;i4i3tmug;split_both;split_both;Both;;3;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
